username,date,review_text,rating,source
rik4rds,,"Jimmy Santos as the pro-LGBT father na imbentor na gumawa ng koronang army weapon na itututok mo lang, maglalabas ng bala. CAMP.",140.0,ltbx
pusangitim,,mulan in drag,140.0,ltbx
ambu_lance,,Cute ni kean hsushushsus,,ltbx
giinda,,"“welcome home, papsi!!!” > the entire godfather trilogy",160.0,ltbx
kristpykreme_,,mulan if she served gay cunt,200.0,ltbx
tjigsey,,gdragon when going to the military,,ltbx
vnsrfn,,"i don’t know what to tell you, i laughed",120.0,ltbx
lalan,,another meme vice film na gets na gets ki 😭😭😭😭😭,160.0,ltbx
eelllee,,IF U HATE THIS MOVIE U HATE FUN,200.0,ltbx
lvlyaex,,pag bakla salot agad? hindi ba pwedeng malas muna 🤨,200.0,ltbx
tinyisal0ser,,So fucking stupid I love Vice Ganda 😭,120.0,ltbx
alltoonell,,"""kalalaki mong tao kalaki ng dede mo"" 😭😭😭",200.0,ltbx
raehtings,,"Rewatched it, man! It gives me nostalgia as this was my childhood. I didn't even realize that this is like Mulan live action 😭😭",160.0,ltbx
dykiarennelle,,and who says gay people can’t SERVE the country? 🔫😙💅,160.0,ltbx
