review_id,sentence_num,username,date,rating,source,sentence
150,5,isonder,2025-06-29 06:21:23.808,100.0,ltbx,"queer people has to prove themselves by achieving something just to fill in their ""flaws"" because for them to accept you—you have to be this successful individual or else you're nothing but labeled as ""salot sa lipunan"""
150,6,isonder,2025-06-29 06:21:23.808,100.0,ltbx,it's hard when what you only want is respect as a human being :)
151,1,scottyminaj,2025-06-29 00:00:00.000,100.0,ltbx,mulan if she’s cuntier
152,1,daniduchie,2025-06-28 00:00:00.000,100.0,ltbx,"Its still so funny, the nostalgia its giving"
153,1,hyzhaus,2025-06-27 00:00:00.000,100.0,ltbx,"god i love vice's classics sm; this silly little film still has a place in my heart as one of my fave vg films, or films in general"
154,1,kannesfilm,2025-06-26 00:00:00.000,100.0,ltbx,ang laff ko
155,1,halloblax,2025-06-26 00:00:00.000,100.0,ltbx,"hahays, a classic, idc what yall say this was a great laugh, really enjoyed all throughout despite the anti-gay statements that slightly triggered my fight or flight response"
156,1,alive_girl,2025-06-25 00:00:00.000,100.0,ltbx,Only real cinephiles would get vice ganda (me and martin scorsese)
157,1,brie_pov,2025-06-24 00:00:00.000,100.0,ltbx,this is peak cinema
158,1,lousol,2025-06-24 00:00:00.000,100.0,ltbx,this movie is the reason for my a+ humor
159,1,misssaigon,2025-06-23 00:00:00.000,100.0,ltbx,TANGINA NG WELCOME HOME PAPSI BE HAHAHAHAHA
160,1,amarlanzia,2025-06-23 00:00:00.000,100.0,ltbx,First ever filipino movie that I loveeeeeeee
161,1,yuriphoria,2025-06-20 00:00:00.000,100.0,ltbx,FORGOT TO MENTION NA SOBRANG GWAPO NI KEAN DITO FAWKKKKKKK
162,1,burateater,2025-06-22 00:00:00.000,40.0,ltbx,Tatlong beses akong nilabasan sa pelikulang to
163,1,edcelgonzales,2013-05-26 00:00:00.000,100.0,ltbx,"It's giving Mulan meets MMFF, campy patriotism and some punchlines that hit harder than the actual plot"
164,1,hanimeowi,2025-06-20 00:00:00.000,100.0,ltbx,"it’s pretty funny but sometimes a pause was needed because i couldn’t take it  but i really like how soft benjie’s family is  not every filipino household accepts a different sexuality so it’s really heartwarming to see benjie’s family accept benjie for who he really is  i also liked how benjie found people that will stay with him no matter what happens, their friend group is so funny  i don’t know if i’ll watch it again but it’s an okay movie OKAY"
164,2,hanimeowi,2025-06-20 00:00:00.000,100.0,ltbx,nyahhaha Happy Pride Month
165,1,violetanhedonia,2025-06-18 00:00:00.000,100.0,ltbx,mulan’s kinda looking different here
